mot,categorie,source
ans,nom,lexique
france,nom_propre,spacy
temps,nom,lexique
monde,nom,lexique
fois,nom,lexique
premier,nom,lexique
là,autre,lexique
première,nom,lexique
paris,nom_propre,manuel
quatre,nom,lexique
président,nom,lexique
grand,nom,lexique
cinq,autre,lexique
devant,nom,lexique
jour,nom,lexique
dernier,nom,lexique
heures,nom,lexique
fin,nom,lexique
aujourd'hui,autre,lexique
jours,nom,lexique
grande,nom,lexique
français,nom,lexique
mois,nom,lexique
place,nom,lexique
pays,nom,lexique
nouveau,nom,lexique
général,nom,lexique
part,nom,lexique
plusieurs,autre,lexique
faut,verbe,lexique
politique,nom,lexique
partie,nom,lexique
dix,autre,lexique
point,nom,lexique
cours,nom,lexique
pris,adj,lexique
certains,adj,lexique
ministre,nom,lexique
nouvelle,nom,lexique
lieu,nom,lexique
près,autre,lexique
chef,nom,lexique
vie,nom,lexique
question,nom,lexique
reste,nom,lexique
gouvernement,nom,lexique
cas,nom,lexique
prendre,verbe,lexique
compte,nom,lexique
guerre,nom,lexique
six,autre,lexique
moment,nom,lexique
seul,nom,lexique
mis,adj,lexique
nationale,nom,lexique
seulement,autre,lexique
pouvoir,nom,lexique
française,nom,lexique
unis,nom,lexique
nombre,nom,lexique
côté,nom,lexique
déclaré,adj,lexique
travail,nom,lexique
situation,nom,lexique
presse,nom,lexique
dernière,nom,lexique
voir,verbe,lexique
parti,nom,lexique
conseil,nom,lexique
hommes,nom,lexique
suite,nom,lexique
ci,autre,lexique
jean,nom_propre,manuel
porte,nom,lexique
soir,nom,lexique
début,nom,lexique
l'un,autre,lexique
millions,nom,lexique
droit,nom,lexique
vingt,autre,lexique
demande,nom,lexique
raison,nom,lexique
nord,nom,lexique
secrétaire,nom,lexique
vue,nom,lexique
matin,nom,lexique
mettre,verbe,lexique
semble,verbe,lexique
aucun,autre,lexique
sécurité,nom,lexique
ville,nom,lexique
tant,autre,lexique
membres,nom,lexique
effet,nom,lexique
national,nom,lexique
laquelle,autre,lexique
aucune,autre,lexique
donné,nom,lexique
affaires,nom,lexique
américain,nom,lexique
années,nom,lexique
prix,nom,lexique
tête,nom,lexique
vient,verbe,lexique
nouvelles,nom,lexique
groupe,nom,lexique
mesure,nom,lexique
république,nom,lexique
plan,nom,lexique
nombreux,adj,lexique
semaine,nom,lexique
défense,nom,lexique
mise,nom,lexique
nom,nom,lexique
forces,nom,lexique
possible,nom,lexique
politiques,nom,lexique
grands,nom,lexique
mort,nom,lexique
donner,nom,lexique
décision,nom,lexique
